iter	Passed	Remaining
0	148	148370
1	153	76783
2	159	52894
3	164	40987
4	170	33873
5	172	28639
6	174	24821
7	176	21941
8	178	19674
9	180	17850
10	182	16366
11	183	15118
12	185	14052
13	186	13135
14	188	12353
15	189	11669
16	191	11069
17	192	10525
18	194	10044
19	216	10584
20	217	10142
21	219	9757
22	221	9402
23	238	9706
24	240	9377
25	242	9082
26	243	8786
27	245	8505
28	246	8241
29	248	8032
30	249	7807
31	251	7594
32	252	7392
33	274	7799
34	276	7611
35	277	7436
36	279	7264
37	281	7138
38	283	6993
39	285	6849
40	287	6713
41	289	6601
42	290	6476
43	292	6352
44	293	6234
45	294	6117
46	296	6005
47	297	5901
48	299	5805
49	300	5713
50	302	5619
51	303	5527
52	304	5441
53	305	5356
54	306	5273
55	333	5629
56	335	5550
57	337	5473
58	340	5430
59	342	5361
60	343	5294
61	345	5224
62	346	5155
63	349	5104
64	352	5068
65	354	5010
66	355	4953
67	356	4885
68	360	4860
69	361	4806
70	363	4753
71	364	4702
72	367	4660
73	370	4636
74	372	4597
75	374	4552
76	375	4504
77	378	4471
78	380	4438
79	382	4396
80	383	4352
81	384	4309
82	386	4267
83	388	4236
84	389	4194
85	391	4160
86	392	4118
87	393	4079
88	394	4041
89	396	4005
90	399	3989
91	403	3982
92	405	3955
93	406	3920
94	408	3887
95	409	3854
96	411	3826
97	413	3803
98	414	3776
99	416	3746
100	417	3718
101	419	3690
102	420	3665
103	422	3636
104	424	3617
105	426	3593
106	427	3565
107	428	3542
108	430	3516
109	432	3502
110	434	3477
111	435	3455
112	439	3449
113	441	3433
114	443	3413
115	444	3390
116	446	3367
117	447	3343
118	448	3319
119	450	3300
120	451	3282
121	454	3268
122	455	3245
123	456	3224
124	457	3203
125	459	3186
126	460	3166
127	461	3145
128	463	3130
129	465	3117
130	467	3104
131	470	3093
132	471	3074
133	473	3058
134	474	3042
135	476	3030
136	478	3015
137	479	2997
138	481	2982
139	482	2964
140	483	2948
141	486	2937
142	488	2928
143	490	2914
144	491	2899
145	492	2883
146	494	2868
147	496	2860
148	498	2845
149	499	2830
150	500	2816
151	502	2800
152	503	2787
153	504	2774
154	507	2766
155	508	2752
156	510	2739
157	511	2725
158	512	2712
159	514	2700
160	515	2685
161	517	2678
162	519	2666
163	520	2653
164	521	2640
165	524	2632
166	525	2619
167	526	2605
168	529	2603
169	531	2592
170	532	2581
171	533	2569
172	534	2556
173	537	2550
174	538	2538
175	539	2526
176	542	2520
177	543	2509
178	544	2498
179	546	2490
180	547	2476
181	549	2467
182	551	2460
183	552	2452
184	555	2445
185	556	2435
186	558	2426
187	559	2415
188	561	2408
189	562	2399
190	564	2389
191	565	2379
192	566	2368
193	568	2363
194	569	2352
195	571	2343
196	574	2341
197	576	2334
198	577	2324
199	578	2314
200	582	2315
201	584	2307
202	589	2314
203	590	2305
204	592	2296
205	593	2287
206	594	2279
207	596	2269
208	597	2259
209	598	2252
210	600	2244
211	601	2236
212	602	2226
213	604	2218
214	605	2211
215	607	2203
216	612	2211
217	614	2203
218	615	2194
219	616	2185
220	618	2178
221	619	2169
222	620	2161
223	622	2155
224	623	2147
225	625	2140
226	626	2133
227	627	2125
228	628	2116
229	631	2114
230	633	2109
231	634	2101
232	635	2093
233	637	2087
234	639	2080
235	640	2072
236	641	2065
237	644	2064
238	646	2057
239	647	2049
240	648	2042
241	649	2035
242	651	2029
243	652	2023
244	654	2017
245	656	2012
246	658	2006
247	659	1999
248	660	1992
249	661	1985
250	663	1980
251	665	1974
252	668	1974
253	669	1967
254	671	1961
255	672	1955
256	674	1949
257	675	1942
258	676	1935
259	677	1928
260	679	1924
261	681	1918
262	682	1912
263	683	1905
264	684	1899
265	687	1895
266	688	1889
267	691	1887
268	692	1882
269	694	1876
270	695	1870
271	696	1864
272	697	1858
273	699	1852
274	700	1846
275	703	1846
276	705	1841
277	706	1835
278	707	1829
279	709	1824
280	711	1819
281	712	1815
282	717	1818
283	719	1814
284	723	1814
285	725	1810
286	727	1808
287	729	1803
288	732	1802
289	737	1805
290	739	1801
291	741	1797
292	742	1791
293	745	1789
294	746	1783
295	751	1786
296	753	1782
297	755	1780
298	757	1775
299	763	1780
300	765	1776
