iter	Passed	Remaining
0	157	157379
1	160	80036
2	168	56113
3	175	43716
4	178	35451
5	180	29919
6	183	26064
7	186	23125
8	191	21066
9	196	19440
10	198	17869
11	201	16585
12	203	15486
13	206	14540
14	212	13922
15	214	13194
16	216	12530
17	218	11944
18	221	11420
19	229	11255
20	232	10823
21	235	10451
22	237	10109
23	240	9796
24	244	9527
25	246	9249
26	256	9235
27	258	8973
28	260	8720
29	262	8500
30	265	8284
31	269	8147
32	271	7947
33	273	7769
34	275	7601
35	277	7432
36	279	7276
37	284	7191
38	285	7044
39	287	6906
40	290	6791
41	293	6704
42	298	6643
43	301	6553
44	305	6481
45	308	6396
46	316	6418
47	319	6335
48	324	6289
49	327	6228
50	330	6149
51	332	6070
52	335	5992
53	337	5919
54	340	5856
55	343	5792
56	345	5722
57	348	5654
58	351	5599
59	370	5806
60	376	5797
61	379	5738
62	383	5709
63	392	5736
64	396	5710
65	399	5658
66	403	5620
67	406	5572
68	412	5559
69	414	5503
70	416	5450
71	424	5469
72	428	5436
73	430	5389
74	432	5339
75	438	5325
76	444	5328
77	446	5281
78	448	5233
79	461	5304
80	463	5257
81	468	5242
82	469	5186
83	472	5151
84	478	5148
85	480	5111
86	493	5181
87	500	5191
88	504	5165
89	520	5257
90	522	5219
91	535	5282
92	537	5246
93	540	5207
94	542	5168
95	546	5146
96	549	5112
97	552	5083
98	561	5111
99	567	5110
100	570	5075
101	575	5067
102	577	5032
103	582	5017
104	585	4988
105	590	4980
106	595	4967
107	597	4934
108	599	4900
109	601	4869
110	608	4877
111	611	4849
112	613	4817
113	615	4785
114	620	4775
115	623	4749
116	625	4719
117	627	4692
118	629	4661
119	631	4631
120	638	4639
121	640	4607
122	642	4578
123	644	4551
124	646	4523
125	650	4513
126	653	4492
127	656	4470
128	658	4447
129	660	4423
130	665	4413
131	668	4392
132	670	4369
133	672	4346
134	675	4325
135	679	4317
136	682	4296
137	686	4289
138	688	4267
139	690	4244
140	698	4253
141	700	4230
142	702	4211
143	704	4189
144	707	4171
145	716	4191
146	718	4170
147	720	4150
148	723	4132
149	730	4137
150	733	4126
151	735	4106
152	738	4085
153	743	4084
154	747	4072
155	749	4054
156	751	4035
157	753	4016
158	761	4030
159	764	4011
160	765	3988
161	767	3970
162	770	3954
163	775	3954
164	778	3941
165	781	3924
166	783	3906
167	786	3894
168	790	3887
169	792	3870
170	795	3854
171	797	3837
172	806	3857
173	809	3844
174	812	3828
175	817	3828
176	820	3814
177	822	3800
178	826	3790
179	833	3796
180	836	3783
181	838	3769
182	841	3754
183	843	3739
184	847	3734
185	851	3724
186	853	3711
187	856	3697
188	870	3735
189	872	3720
190	876	3712
191	879	3699
192	881	3687
193	884	3674
194	887	3664
195	893	3663
196	896	3654
197	898	3639
198	900	3622
199	902	3609
200	908	3609
201	912	3603
202	914	3589
203	916	3574
204	917	3559
205	923	3559
206	927	3552
207	929	3539
208	931	3524
209	932	3509
210	934	3496
211	944	3508
212	947	3499
213	948	3485
214	950	3471
215	955	3467
216	958	3458
217	960	3446
218	962	3433
219	964	3419
220	968	3413
221	972	3406
222	974	3395
223	976	3382
224	978	3369
225	980	3358
226	986	3357
227	988	3346
228	990	3334
229	992	3322
230	994	3309
231	998	3305
232	1003	3304
233	1006	3293
234	1008	3281
235	1010	3269
236	1014	3267
237	1019	3264
238	1021	3253
239	1024	3242
240	1026	3231
241	1030	3226
242	1032	3217
243	1035	3207
244	1037	3198
245	1041	3191
246	1044	3184
247	1047	3175
248	1049	3164
249	1057	3172
250	1060	3164
251	1063	3156
252	1066	3147
253	1068	3137
254	1074	3138
255	1077	3130
256	1079	3122
257	1082	3112
258	1085	3105
259	1095	3118
260	1098	3110
261	1101	3102
262	1108	3106
263	1113	3103
264	1115	3093
265	1122	3098
266	1127	3094
267	1129	3085
268	1131	3075
269	1134	3068
270	1143	3075
271	1146	3068
272	1155	3076
273	1157	3068
274	1161	3063
275	1164	3055
276	1168	3050
277	1171	3041
278	1173	3033
279	1187	3052
280	1189	3043
281	1191	3034
282	1199	3039
283	1202	3031
284	1205	3024
285	1210	3021
286	1214	3017
287	1217	3010
288	1219	3001
289	1226	3003
290	1229	2995
291	1231	2986
292	1234	2978
293	1236	2970
294	1241	2967
295	1244	2961
296	1261	2985
297	1263	2977
298	1266	2968
299	1268	2959
300	1274	2960
301	1277	2953
302	1280	2944
303	1282	2936
304	1287	2932
305	1293	2932
306	1295	2924
307	1298	2916
308	1306	2920
309	1309	2914
310	1311	2906
311	1314	2897
312	1318	2894
313	1322	2890
314	1325	2882
315	1327	2873
316	1329	2865
317	1337	2867
318	1340	2861
319	1343	2854
320	1346	2847
321	1357	2857
322	1360	2851
323	1363	2844
324	1366	2838
325	1369	2832
326	1372	2825
327	1390	2848
328	1393	2841
329	1398	2839
330	1401	2832
331	1405	2828
332	1407	2820
333	1415	2823
334	1419	2818
335	1422	2810
336	1425	2803
337	1429	2799
338	1432	2793
339	1434	2785
340	1438	2780
341	1442	2774
342	1444	2767
343	1447	2759
344	1449	2752
345	1454	2749
346	1459	2746
347	1467	2748
348	1474	2749
349	1477	2744
350	1480	2736
351	1483	2730
352	1488	2728
353	1491	2721
354	1493	2713
355	1495	2705
356	1503	2708
357	1506	2701
358	1508	2693
359	1514	2692
360	1518	2688
361	1521	2680
362	1523	2673
363	1526	2666
364	1531	2664
365	1534	2658
366	1537	2651
367	1539	2643
368	1543	2639
369	1552	2643
370	1555	2636
371	1557	2629
372	1563	2628
373	1566	2622
374	1569	2615
375	1571	2607
376	1573	2599
377	1578	2597
378	1580	2590
379	1583	2582
380	1585	2575
381	1587	2568
382	1594	2568
383	1596	2560
384	1597	2552
385	1599	2545
386	1602	2537
387	1605	2532
388	1609	2528
389	1612	2521
390	1614	2514
391	1616	2507
392	1619	2501
393	1624	2497
394	1626	2490
395	1628	2483
396	1630	2476
397	1632	2469
398	1637	2467
399	1641	2462
400	1644	2456
401	1646	2448
402	1648	2441
403	1654	2440
404	1657	2434
405	1658	2427
406	1660	2420
407	1663	2413
408	1668	2410
409	1670	2404
410	1672	2397
411	1674	2390
412	1676	2382
413	1678	2375
414	1685	2376
415	1688	2369
416	1689	2362
417	1691	2355
418	1694	2349
419	1700	2347
420	1702	2341
421	1704	2334
